Taxa and Samples	PR10B	PR11B	PR12B	PR13B	PR14B	PR15B	PR16B	PR17B	PR18B	PR19B	PR20B	PR21B	PR22B	PR23B	PR24B	PR25B	PR26B	PR27B	PR28B	PR29B	PR30B	PR31B	PR32B	PR33B	PR34B	PR35B	PR36B	PR5B	PR6B	PR7B	PR8B	PR9B
a9d7aa88c8267d6fdd2a0771fbb664ab	2.63657259940873	0	0	0	0	0	0	0	0	0	0	0	0	10.9139038123467	0	6.45131043337317	7.77808237086759	2.58616544837769	0	1.84785799219917	0	2.12450604076848	2.46194309494561	2.35958622094589	2.85866707582674	0	2.67515449456642	0	0	0	0	0
e0b292e105ba4eac7f0216e6fb156ba4	6.18496912572604	0	0	0	3.40444231551379	6.76386766628718	7.65423644094894	7.58626265235294	6.9924302602606	0	0	0	0	0	0	0	0	6.99011674379364	4.59960899155058	2.90672389677641	0	5.14263775210907	6.21856073354853	7.68170144878555	6.30349185981459	6.95573981741939	7.05185014908861	0	0	0	0	6.30568127561272
2c1a73efdf0b9f55baaa2d17844b80e4	3.556209823784	0	0	0	0	4.9294047723731	4.73017071343811	3.01595332630956	6.15223987380477	0	0	0	0	0	0	3.78357025686755	0	6.5833821081927	6.44187626386126	6.55029998914437	5.54441521203852	9.12383455999158	8.23307921400716	5.34750037357025	3.42599938267139	4.57494758883961	3.97861346042572	0	0	0	0	3.54608050429266
4dadd7e0086af963ae7a1cefa65adb6d	0	0	1.04177653304584	0.739281317040433	0	0	0	0	0	0	5.86489136995513	2.97384491982258	0	9.05337735722028	10.0267807005442	7.47661202187679	7.64646540602277	0	0	0	0	0	0	0	3.15522677961282	1.18929306295964	1.67569520106568	0	0	0	0	0
e7c749085c0c350f4639b6778cda980e	6.04232508437239	0	0	0	0	0	0	6.81498449303561	6.83583930658721	0	0	0	0	0	0	6.99169258123736	6.80536075826472	5.91311103350906	4.30624415885321	4.55644960503312	1.41729559183702	5.99751964379405	6.93082177027238	7.00719591334097	7.75002073849103	7.04003533021159	6.6690009675654	0	0	0	0	5.28727777203621
2cbdeea520a6add4025a56be4f352e5c	8.58951617493407	0	0	0	4.06822556536292	7.05095855373048	9.21836859056633	5.75629809264629	5.34210802703818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.73210967363048
44b72b69a8485ad51fe4e67f4e2beed3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.04581567704675	5.74401320508781	5.29013866646285	0	7.21551960195255	8.09416250461299	5.47211176888094	5.52549308594244	8.06014695920981	7.80519959172088	0	0	0	0	0
e5969252ce8f71febc8d1c500912f084	7.22620007784985	0	0	0	0	7.8820275038456	3.66222701274388	8.0934143936278	7.11391979103998	0	0	0	0	0	0	4.5190204149271	6.70968023159243	0	0	0	0	0	0	5.5016526163072	7.06980520796376	6.20496141238902	6.64619162561286	0	0	0	0	7.59187807462074
4e200c66f33d872d2e36ef0998094e3f	0	5.00765113471974	7.66692270967427	0	0	0	0	0	0	8.33726300692675	0.396658969963989	8.43821317453049	7.61296842224283	0	0	0	0	5.21085779021383	6.87601667731698	7.6208836761138	6.52014738477677	2.90323825967089	4.4623612496	2.07517585269537	2.10790517942472	2.66335385311044	4.11775605988603	0	0	0	0	0
246bf75595f65cee7640bbcc7262f346	2.55884751178706	4.96107624123511	6.22079246474248	9.79802387384804	8.97621794110938	7.20726432157747	6.01911063453669	0	0	0	0	0	0	0	0	0	0	0	3.31067199331999	2.63210689434974	3.18201606131037	0	0	0	0	0	0	0	0	0	0	2.32346820182934
